"V1","V2","V3","V4"
"LinReg DS","11","0.04","0.96"
"LinReg MS","11","0.0416666666666667","0.92"
"DataSplitting","11","0.04","0.96"
"MultipleDataSplitting","11","0.0416666666666667","0.92"
"Knockoff","11","0.0769230769230769","0.96"
"BH","11","0","0.88"
"LinReg DS","11","0.0952380952380952","0.76"
"LinReg MS","11","0","0.8"
"DataSplitting","11","0.153846153846154","0.88"
"MultipleDataSplitting","11","0","0.88"
"Knockoff","11","0.153846153846154","0.88"
"BH","11","0","0.88"
"LinReg DS","11","0.0434782608695652","0.88"
"LinReg MS","11","0.0769230769230769","0.96"
"DataSplitting","11","0.193548387096774","1"
"MultipleDataSplitting","11","0","1"
"Knockoff","11","0.0740740740740741","1"
"BH","11","0","0.92"
"LinReg DS","11","0.166666666666667","0.8"
"LinReg MS","11","0","0.84"
"DataSplitting","11","0","0.92"
"MultipleDataSplitting","11","0","0.84"
"Knockoff","11","0","0.88"
"BH","11","0","0.88"
"LinReg DS","11","0.0952380952380952","0.76"
"LinReg MS","11","0.0434782608695652","0.88"
"DataSplitting","11","0","0.88"
"MultipleDataSplitting","11","0","0.84"
"Knockoff","11","0.0434782608695652","0.88"
"BH","11","0","0.88"
"LinReg DS","11","0.05","0.76"
"LinReg MS","11","0","0.8"
"DataSplitting","11","0.352941176470588","0.88"
"MultipleDataSplitting","11","0.153846153846154","0.88"
"Knockoff","11","0.290322580645161","0.88"
"BH","11","0","0.8"
"LinReg DS","11","0.0416666666666667","0.92"
"LinReg MS","11","0","0.92"
"DataSplitting","11","0.0740740740740741","1"
"MultipleDataSplitting","11","0","0.92"
"Knockoff","11","0","0.96"
"BH","11","0","0.92"
"LinReg DS","11","0.0952380952380952","0.76"
"LinReg MS","11","0","0.76"
"DataSplitting","11","0.0454545454545455","0.84"
"MultipleDataSplitting","11","0.0869565217391304","0.84"
"Knockoff","11","0.125","0.84"
"BH","11","0","0.84"
"LinReg DS","11","0.214285714285714","0.88"
"LinReg MS","11","0","0.88"
"DataSplitting","11","0.148148148148148","0.92"
"MultipleDataSplitting","11","0.0416666666666667","0.92"
"Knockoff","11","0.0416666666666667","0.92"
"BH","11","0","0.88"
"LinReg DS","11","0","0.8"
"LinReg MS","11","0.04","0.96"
"DataSplitting","11","0.0769230769230769","0.96"
"MultipleDataSplitting","11","0.107142857142857","1"
"Knockoff","11","0.148148148148148","0.92"
"BH","11","0","0.92"
"LinReg DS","11","0.0952380952380952","0.76"
"LinReg MS","11","0.0952380952380952","0.76"
"DataSplitting","11","0","0.8"
"MultipleDataSplitting","11","0.0909090909090909","0.8"
"Knockoff","11","0.0909090909090909","0.8"
"BH","11","0","0.76"
"LinReg DS","11","0.0416666666666667","0.92"
"LinReg MS","11","0","0.92"
"DataSplitting","11","0","0.92"
"MultipleDataSplitting","11","0.0416666666666667","0.92"
"Knockoff","11","0","0.92"
"BH","11","0","0.92"
"LinReg DS","12","0.0526315789473684","0.72"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0.178571428571429","0.92"
"MultipleDataSplitting","12","0","0.92"
"Knockoff","12","0.148148148148148","0.92"
"BH","12","0","0.84"
"LinReg DS","12","0.0869565217391304","0.84"
"LinReg MS","12","0.0454545454545455","0.84"
"DataSplitting","12","0.185185185185185","0.88"
"MultipleDataSplitting","12","0.0434782608695652","0.88"
"Knockoff","12","0.12","0.88"
"BH","12","0","0.88"
"LinReg DS","12","0.130434782608696","0.8"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0","0.84"
"MultipleDataSplitting","12","0.0434782608695652","0.88"
"Knockoff","12","0.0869565217391304","0.84"
"BH","12","0","0.84"
"LinReg DS","12","0.0952380952380952","0.76"
"LinReg MS","12","0","0.88"
"DataSplitting","12","0.12","0.88"
"MultipleDataSplitting","12","0","0.88"
"Knockoff","12","0.0833333333333333","0.88"
"BH","12","0","0.88"
"LinReg DS","12","0.0833333333333333","0.88"
"LinReg MS","12","0","0.88"
"DataSplitting","12","0.0416666666666667","0.92"
"MultipleDataSplitting","12","0","0.88"
"Knockoff","12","0","0.88"
"BH","12","0","0.88"
"LinReg DS","12","0.16","0.84"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0.16","0.84"
"MultipleDataSplitting","12","0.0434782608695652","0.88"
"Knockoff","12","0","0.88"
"BH","12","0","0.84"
"LinReg DS","12","0.333333333333333","0.96"
"LinReg MS","12","0","0.96"
"DataSplitting","12","0.25","0.96"
"MultipleDataSplitting","12","0.111111111111111","0.96"
"Knockoff","12","0.04","0.96"
"BH","12","0","0.96"
"LinReg DS","12","0.136363636363636","0.76"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0.0769230769230769","0.96"
"MultipleDataSplitting","12","0","0.92"
"Knockoff","12","0","0.92"
"BH","12","0","0.92"
"LinReg DS","12","0.0952380952380952","0.76"
"LinReg MS","12","0","0.8"
"DataSplitting","12","0.12","0.88"
"MultipleDataSplitting","12","0.0833333333333333","0.88"
"Knockoff","12","0.266666666666667","0.88"
"BH","12","0","0.8"
"LinReg DS","12","0.0454545454545455","0.84"
"LinReg MS","12","0.125","0.84"
"DataSplitting","12","0","0.84"
"MultipleDataSplitting","12","0","0.84"
"Knockoff","12","0.0434782608695652","0.88"
"BH","12","0","0.84"
"LinReg DS","12","0","0.68"
"LinReg MS","12","0","0.76"
"DataSplitting","12","0.192307692307692","0.84"
"MultipleDataSplitting","12","0","0.84"
"Knockoff","12","0.192307692307692","0.84"
"BH","12","0","0.8"
"LinReg DS","12","0.0416666666666667","0.92"
"LinReg MS","12","0","0.92"
"DataSplitting","12","0.111111111111111","0.96"
"MultipleDataSplitting","12","0","0.88"
"Knockoff","12","0.0416666666666667","0.92"
"BH","12","0","0.92"
"LinReg DS","12","0.0869565217391304","0.84"
"LinReg MS","12","0","0.8"
"DataSplitting","12","0.0434782608695652","0.88"
"MultipleDataSplitting","12","0","0.88"
"Knockoff","12","0","0.88"
"BH","12","0","0.84"
"LinReg DS","12","0.0869565217391304","0.84"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0","0.88"
"MultipleDataSplitting","12","0","0.84"
"Knockoff","12","0","0.88"
"BH","12","0","0.88"
"LinReg DS","12","0.08","0.92"
"LinReg MS","12","0.178571428571429","0.92"
"DataSplitting","12","0","0.96"
"MultipleDataSplitting","12","0","0.88"
"Knockoff","12","0","0.96"
"BH","12","0","0.92"
"LinReg DS","12","0","0.8"
"LinReg MS","12","0","0.88"
"DataSplitting","12","0.2","0.96"
"MultipleDataSplitting","12","0.148148148148148","0.92"
"Knockoff","12","0.115384615384615","0.92"
"BH","12","0.0416666666666667","0.92"
"LinReg DS","12","0","0.84"
"LinReg MS","12","0.142857142857143","0.96"
"DataSplitting","12","0","0.96"
"MultipleDataSplitting","12","0","0.96"
"Knockoff","12","0","0.96"
"BH","12","0","0.96"
"LinReg DS","12","0.0434782608695652","0.88"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0.04","0.96"
"MultipleDataSplitting","12","0.04","0.96"
"Knockoff","12","0.04","0.96"
"BH","12","0.04","0.96"
"LinReg DS","12","0.0454545454545455","0.84"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0.0833333333333333","0.88"
"MultipleDataSplitting","12","0","0.84"
"Knockoff","12","0","0.88"
"BH","12","0","0.88"
"LinReg DS","12","0.08","0.92"
"LinReg MS","12","0","0.88"
"DataSplitting","12","0.0416666666666667","0.92"
"MultipleDataSplitting","12","0.0434782608695652","0.88"
"Knockoff","12","0.0416666666666667","0.92"
"BH","12","0.0416666666666667","0.92"
"LinReg DS","12","0.173913043478261","0.76"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0.258064516129032","0.92"
"MultipleDataSplitting","12","0.0769230769230769","0.96"
"Knockoff","12","0.2","0.96"
"BH","12","0","0.88"
"LinReg DS","12","0.0476190476190476","0.8"
"LinReg MS","12","0.0869565217391304","0.84"
"DataSplitting","12","0","0.92"
"MultipleDataSplitting","12","0","0.88"
"Knockoff","12","0","0.92"
"BH","12","0","0.88"
"LinReg DS","12","0.0526315789473684","0.72"
"LinReg MS","12","0.0526315789473684","0.72"
"DataSplitting","12","0","0.76"
"MultipleDataSplitting","12","0.0434782608695652","0.88"
"Knockoff","12","0","0.88"
"BH","12","0","0.76"
"LinReg DS","12","0","0.88"
"LinReg MS","12","0","0.88"
"DataSplitting","12","0.148148148148148","0.92"
"MultipleDataSplitting","12","0.0434782608695652","0.88"
"Knockoff","12","0.115384615384615","0.92"
"BH","12","0","0.88"
"LinReg DS","12","0.0833333333333333","0.88"
"LinReg MS","12","0","0.88"
"DataSplitting","12","0.148148148148148","0.92"
"MultipleDataSplitting","12","0","0.88"
"Knockoff","12","0.0416666666666667","0.92"
"BH","12","0","0.92"
"LinReg DS","12","0.0869565217391304","0.84"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0","0.88"
"MultipleDataSplitting","12","0","0.88"
"Knockoff","12","0","0.88"
"BH","12","0","0.84"
"LinReg DS","12","0.0454545454545455","0.84"
"LinReg MS","12","0","0.92"
"DataSplitting","12","0","0.96"
"MultipleDataSplitting","12","0","0.92"
"Knockoff","12","0","0.96"
"BH","12","0","0.96"
"LinReg DS","12","0.148148148148148","0.92"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0.111111111111111","0.96"
"MultipleDataSplitting","12","0","0.92"
"Knockoff","12","0.148148148148148","0.92"
"BH","12","0","0.92"
"LinReg DS","12","0.222222222222222","0.84"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0.0416666666666667","0.92"
"MultipleDataSplitting","12","0","0.92"
"Knockoff","12","0.08","0.92"
"BH","12","0","0.88"
"LinReg DS","12","0","0.84"
"LinReg MS","12","0","0.92"
"DataSplitting","12","0.107142857142857","1"
"MultipleDataSplitting","12","0.0384615384615385","1"
"Knockoff","12","0.0740740740740741","1"
"BH","12","0","1"
"LinReg DS","12","0.0952380952380952","0.76"
"LinReg MS","12","0.0434782608695652","0.88"
"DataSplitting","12","0.12","0.88"
"MultipleDataSplitting","12","0.12","0.88"
"Knockoff","12","0.0833333333333333","0.88"
"BH","12","0.0434782608695652","0.88"
"LinReg DS","12","0.0952380952380952","0.76"
"LinReg MS","12","0","0.8"
"DataSplitting","12","0","0.8"
"MultipleDataSplitting","12","0","0.8"
"Knockoff","12","0.0476190476190476","0.8"
"BH","12","0","0.8"
"LinReg DS","12","0.28125","0.92"
"LinReg MS","12","0","0.92"
"DataSplitting","12","0.0416666666666667","0.92"
"MultipleDataSplitting","12","0","0.88"
"Knockoff","12","0.0416666666666667","0.92"
"BH","12","0","0.92"
"LinReg DS","12","0.0909090909090909","0.8"
"LinReg MS","12","0","0.72"
"DataSplitting","12","0.125","0.84"
"MultipleDataSplitting","12","0.0454545454545455","0.84"
"Knockoff","12","0.206896551724138","0.92"
"BH","12","0","0.76"
"LinReg DS","12","0.258064516129032","0.92"
"LinReg MS","12","0.0769230769230769","0.96"
"DataSplitting","12","0.0384615384615385","1"
"MultipleDataSplitting","12","0","0.96"
"Knockoff","12","0.0384615384615385","1"
"BH","12","0","1"
"LinReg DS","12","0.111111111111111","0.96"
"LinReg MS","12","0","0.96"
"DataSplitting","12","0.04","0.96"
"MultipleDataSplitting","12","0","0.92"
"Knockoff","12","0","0.96"
"BH","12","0","0.96"
"LinReg DS","12","0.153846153846154","0.88"
"LinReg MS","12","0","0.88"
"DataSplitting","12","0.0416666666666667","0.92"
"MultipleDataSplitting","12","0.08","0.92"
"Knockoff","12","0.206896551724138","0.92"
"BH","12","0","0.92"
"LinReg DS","12","0","0.64"
"LinReg MS","12","0","0.72"
"DataSplitting","12","0.0869565217391304","0.84"
"MultipleDataSplitting","12","0.0454545454545455","0.84"
"Knockoff","12","0.0454545454545455","0.84"
"BH","12","0","0.84"
"LinReg DS","12","0.04","0.96"
"LinReg MS","12","0.04","0.96"
"DataSplitting","12","0.04","0.96"
"MultipleDataSplitting","12","0.0416666666666667","0.92"
"Knockoff","12","0.0769230769230769","0.96"
"BH","12","0","0.92"
"LinReg DS","12","0.0909090909090909","0.8"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0.148148148148148","0.92"
"MultipleDataSplitting","12","0","0.88"
"Knockoff","12","0.153846153846154","0.88"
"BH","12","0","0.88"
"LinReg DS","12","0.0434782608695652","0.88"
"LinReg MS","12","0.08","0.92"
"DataSplitting","12","0.166666666666667","1"
"MultipleDataSplitting","12","0","1"
"Knockoff","12","0.0740740740740741","1"
"BH","12","0","1"
"LinReg DS","12","0.192307692307692","0.84"
"LinReg MS","12","0","0.84"
"DataSplitting","12","0","0.92"
"MultipleDataSplitting","12","0","0.88"
"Knockoff","12","0","0.92"
"BH","12","0","0.88"
"LinReg DS","12","0.0909090909090909","0.8"
"LinReg MS","12","0","0.88"
"DataSplitting","12","0","0.92"
"MultipleDataSplitting","12","0","0.84"
"Knockoff","12","0.0416666666666667","0.92"
"BH","12","0","0.88"
"LinReg DS","12","0.05","0.76"
"LinReg MS","12","0","0.8"
"DataSplitting","12","0.3125","0.88"
"MultipleDataSplitting","12","0.153846153846154","0.88"
"Knockoff","12","0.290322580645161","0.88"
"BH","12","0","0.8"
"LinReg DS","12","0.0416666666666667","0.92"
"LinReg MS","12","0","0.96"
"DataSplitting","12","0.0740740740740741","1"
"MultipleDataSplitting","12","0","0.96"
"Knockoff","12","0","0.96"
"BH","12","0","0.92"
"LinReg DS","12","0.0909090909090909","0.8"
"LinReg MS","12","0","0.8"
"DataSplitting","12","0.0454545454545455","0.84"
"MultipleDataSplitting","12","0.0869565217391304","0.84"
"Knockoff","12","0.125","0.84"
"BH","12","0","0.84"
"LinReg DS","12","0.214285714285714","0.88"
"LinReg MS","12","0","0.88"
"DataSplitting","12","0.148148148148148","0.92"
"MultipleDataSplitting","12","0.08","0.92"
"Knockoff","12","0.0416666666666667","0.92"
"BH","12","0","0.88"
"LinReg DS","12","0","0.8"
"LinReg MS","12","0.0384615384615385","1"
"DataSplitting","12","0.0740740740740741","1"
"MultipleDataSplitting","12","0.107142857142857","1"
"Knockoff","12","0.137931034482759","1"
"BH","12","0","0.96"
"LinReg DS","12","0.0952380952380952","0.76"
"LinReg MS","12","0.0952380952380952","0.76"
"DataSplitting","12","0","0.8"
"MultipleDataSplitting","12","0.0909090909090909","0.8"
"Knockoff","12","0.0909090909090909","0.8"
"BH","12","0","0.8"
"LinReg DS","12","0.04","0.96"
"LinReg MS","12","0","0.92"
"DataSplitting","12","0","0.92"
"MultipleDataSplitting","12","0.0416666666666667","0.92"
"Knockoff","12","0","0.92"
"BH","12","0","0.92"
"LinReg DS","13","0.0869565217391304","0.84"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0.148148148148148","0.92"
"MultipleDataSplitting","13","0","0.92"
"Knockoff","13","0.148148148148148","0.92"
"BH","13","0","0.88"
"LinReg DS","13","0.0833333333333333","0.88"
"LinReg MS","13","0.0434782608695652","0.88"
"DataSplitting","13","0.185185185185185","0.88"
"MultipleDataSplitting","13","0.0434782608695652","0.88"
"Knockoff","13","0.12","0.88"
"BH","13","0","0.88"
"LinReg DS","13","0.130434782608696","0.8"
"LinReg MS","13","0","0.84"
"DataSplitting","13","0","0.88"
"MultipleDataSplitting","13","0.0434782608695652","0.88"
"Knockoff","13","0.0869565217391304","0.84"
"BH","13","0","0.84"
"LinReg DS","13","0.0952380952380952","0.76"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0.0833333333333333","0.88"
"MultipleDataSplitting","13","0","0.88"
"Knockoff","13","0.0833333333333333","0.88"
"BH","13","0","0.88"
"LinReg DS","13","0.0833333333333333","0.88"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0","0.92"
"MultipleDataSplitting","13","0","0.84"
"Knockoff","13","0","0.88"
"BH","13","0","0.88"
"LinReg DS","13","0.0869565217391304","0.84"
"LinReg MS","13","0","0.84"
"DataSplitting","13","0.16","0.84"
"MultipleDataSplitting","13","0.0434782608695652","0.88"
"Knockoff","13","0","0.88"
"BH","13","0","0.84"
"LinReg DS","13","0.333333333333333","0.96"
"LinReg MS","13","0","0.96"
"DataSplitting","13","0.25","0.96"
"MultipleDataSplitting","13","0.111111111111111","0.96"
"Knockoff","13","0.04","0.96"
"BH","13","0","0.96"
"LinReg DS","13","0.125","0.84"
"LinReg MS","13","0","0.84"
"DataSplitting","13","0.04","0.96"
"MultipleDataSplitting","13","0","0.92"
"Knockoff","13","0","0.96"
"BH","13","0","0.92"
"LinReg DS","13","0.0952380952380952","0.76"
"LinReg MS","13","0","0.8"
"DataSplitting","13","0.12","0.88"
"MultipleDataSplitting","13","0.0833333333333333","0.88"
"Knockoff","13","0.266666666666667","0.88"
"BH","13","0","0.8"
"LinReg DS","13","0.0454545454545455","0.84"
"LinReg MS","13","0.125","0.84"
"DataSplitting","13","0","0.88"
"MultipleDataSplitting","13","0","0.88"
"Knockoff","13","0.0434782608695652","0.88"
"BH","13","0","0.88"
"LinReg DS","13","0","0.68"
"LinReg MS","13","0","0.76"
"DataSplitting","13","0.192307692307692","0.84"
"MultipleDataSplitting","13","0","0.84"
"Knockoff","13","0.192307692307692","0.84"
"BH","13","0","0.8"
"LinReg DS","13","0.0416666666666667","0.92"
"LinReg MS","13","0","0.92"
"DataSplitting","13","0.111111111111111","0.96"
"MultipleDataSplitting","13","0","0.88"
"Knockoff","13","0.0416666666666667","0.92"
"BH","13","0","0.92"
"LinReg DS","13","0.0869565217391304","0.84"
"LinReg MS","13","0","0.8"
"DataSplitting","13","0.0416666666666667","0.92"
"MultipleDataSplitting","13","0","0.88"
"Knockoff","13","0","0.88"
"BH","13","0","0.84"
"LinReg DS","13","0.0869565217391304","0.84"
"LinReg MS","13","0","0.84"
"DataSplitting","13","0","0.88"
"MultipleDataSplitting","13","0","0.84"
"Knockoff","13","0","0.88"
"BH","13","0","0.88"
"LinReg DS","13","0.08","0.92"
"LinReg MS","13","0.178571428571429","0.92"
"DataSplitting","13","0","0.96"
"MultipleDataSplitting","13","0","0.92"
"Knockoff","13","0","0.96"
"BH","13","0","0.92"
"LinReg DS","13","0","0.8"
"LinReg MS","13","0","0.92"
"DataSplitting","13","0.2","0.96"
"MultipleDataSplitting","13","0.178571428571429","0.92"
"Knockoff","13","0.115384615384615","0.92"
"BH","13","0.0416666666666667","0.92"
"LinReg DS","13","0","0.84"
"LinReg MS","13","0.172413793103448","0.96"
"DataSplitting","13","0","0.96"
"MultipleDataSplitting","13","0","0.96"
"Knockoff","13","0","0.96"
"BH","13","0","0.96"
"LinReg DS","13","0.0416666666666667","0.92"
"LinReg MS","13","0","0.92"
"DataSplitting","13","0.04","0.96"
"MultipleDataSplitting","13","0.04","0.96"
"Knockoff","13","0.04","0.96"
"BH","13","0.04","0.96"
"LinReg DS","13","0.0434782608695652","0.88"
"LinReg MS","13","0","0.84"
"DataSplitting","13","0.0833333333333333","0.88"
"MultipleDataSplitting","13","0","0.88"
"Knockoff","13","0","0.88"
"BH","13","0","0.88"
"LinReg DS","13","0.08","0.92"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0.04","0.96"
"MultipleDataSplitting","13","0.0434782608695652","0.88"
"Knockoff","13","0.0416666666666667","0.92"
"BH","13","0.0416666666666667","0.92"
"LinReg DS","13","0.166666666666667","0.8"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0.258064516129032","0.92"
"MultipleDataSplitting","13","0.0769230769230769","0.96"
"Knockoff","13","0.2","0.96"
"BH","13","0","0.88"
"LinReg DS","13","0.0476190476190476","0.8"
"LinReg MS","13","0.0434782608695652","0.88"
"DataSplitting","13","0","0.92"
"MultipleDataSplitting","13","0","0.92"
"Knockoff","13","0","0.92"
"BH","13","0","0.92"
"LinReg DS","13","0.0526315789473684","0.72"
"LinReg MS","13","0","0.76"
"DataSplitting","13","0","0.8"
"MultipleDataSplitting","13","0.0434782608695652","0.88"
"Knockoff","13","0","0.88"
"BH","13","0","0.76"
"LinReg DS","13","0","0.88"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0.148148148148148","0.92"
"MultipleDataSplitting","13","0.0434782608695652","0.88"
"Knockoff","13","0.115384615384615","0.92"
"BH","13","0.0434782608695652","0.88"
"LinReg DS","13","0.0833333333333333","0.88"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0.148148148148148","0.92"
"MultipleDataSplitting","13","0","0.88"
"Knockoff","13","0.0416666666666667","0.92"
"BH","13","0","0.92"
"LinReg DS","13","0.0869565217391304","0.84"
"LinReg MS","13","0","0.84"
"DataSplitting","13","0","0.88"
"MultipleDataSplitting","13","0","0.88"
"Knockoff","13","0","0.88"
"BH","13","0","0.84"
"LinReg DS","13","0.0434782608695652","0.88"
"LinReg MS","13","0","0.92"
"DataSplitting","13","0","0.96"
"MultipleDataSplitting","13","0","0.92"
"Knockoff","13","0","0.96"
"BH","13","0","0.96"
"LinReg DS","13","0.148148148148148","0.92"
"LinReg MS","13","0","0.84"
"DataSplitting","13","0.111111111111111","0.96"
"MultipleDataSplitting","13","0","0.96"
"Knockoff","13","0.148148148148148","0.92"
"BH","13","0","0.92"
"LinReg DS","13","0.222222222222222","0.84"
"LinReg MS","13","0","0.84"
"DataSplitting","13","0.04","0.96"
"MultipleDataSplitting","13","0.0416666666666667","0.92"
"Knockoff","13","0.08","0.92"
"BH","13","0","0.88"
"LinReg DS","13","0","0.88"
"LinReg MS","13","0","0.92"
"DataSplitting","13","0.107142857142857","1"
"MultipleDataSplitting","13","0.0384615384615385","1"
"Knockoff","13","0.0740740740740741","1"
"BH","13","0","1"
"LinReg DS","13","0.0952380952380952","0.76"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0.12","0.88"
"MultipleDataSplitting","13","0.12","0.88"
"Knockoff","13","0.0833333333333333","0.88"
"BH","13","0.0434782608695652","0.88"
"LinReg DS","13","0","0.76"
"LinReg MS","13","0","0.76"
"DataSplitting","13","0.0869565217391304","0.84"
"MultipleDataSplitting","13","0","0.8"
"Knockoff","13","0.0476190476190476","0.8"
"BH","13","0","0.8"
"LinReg DS","13","0.28125","0.92"
"LinReg MS","13","0","0.92"
"DataSplitting","13","0.0416666666666667","0.92"
"MultipleDataSplitting","13","0","0.88"
"Knockoff","13","0.0416666666666667","0.92"
"BH","13","0","0.92"
"LinReg DS","13","0.0909090909090909","0.8"
"LinReg MS","13","0","0.72"
"DataSplitting","13","0.125","0.84"
"MultipleDataSplitting","13","0.0434782608695652","0.88"
"Knockoff","13","0.206896551724138","0.92"
"BH","13","0","0.8"
"LinReg DS","13","0.25","0.96"
"LinReg MS","13","0.0740740740740741","1"
"DataSplitting","13","0.0384615384615385","1"
"MultipleDataSplitting","13","0","0.96"
"Knockoff","13","0.0384615384615385","1"
"BH","13","0","1"
"LinReg DS","13","0.111111111111111","0.96"
"LinReg MS","13","0","0.96"
"DataSplitting","13","0.04","0.96"
"MultipleDataSplitting","13","0","0.92"
"Knockoff","13","0","0.96"
"BH","13","0","0.96"
"LinReg DS","13","0.153846153846154","0.88"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0.0416666666666667","0.92"
"MultipleDataSplitting","13","0.115384615384615","0.92"
"Knockoff","13","0.206896551724138","0.92"
"BH","13","0","0.92"
"LinReg DS","13","0.16","0.84"
"LinReg MS","13","0","0.8"
"DataSplitting","13","0.0869565217391304","0.84"
"MultipleDataSplitting","13","0.0454545454545455","0.84"
"Knockoff","13","0.0454545454545455","0.84"
"BH","13","0","0.84"
"LinReg DS","13","0.04","0.96"
"LinReg MS","13","0","0.96"
"DataSplitting","13","0.04","0.96"
"MultipleDataSplitting","13","0.0416666666666667","0.92"
"Knockoff","13","0.0769230769230769","0.96"
"BH","13","0","0.96"
"LinReg DS","13","0.0869565217391304","0.84"
"LinReg MS","13","0","0.84"
"DataSplitting","13","0.148148148148148","0.92"
"MultipleDataSplitting","13","0.0434782608695652","0.88"
"Knockoff","13","0.148148148148148","0.92"
"BH","13","0","0.88"
"LinReg DS","13","0.0416666666666667","0.92"
"LinReg MS","13","0.0769230769230769","0.96"
"DataSplitting","13","0.166666666666667","1"
"MultipleDataSplitting","13","0","1"
"Knockoff","13","0.0740740740740741","1"
"BH","13","0","1"
"LinReg DS","13","0.192307692307692","0.84"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0","0.96"
"MultipleDataSplitting","13","0","0.88"
"Knockoff","13","0","0.92"
"BH","13","0","0.88"
"LinReg DS","13","0.0909090909090909","0.8"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0","0.92"
"MultipleDataSplitting","13","0","0.84"
"Knockoff","13","0.0416666666666667","0.92"
"BH","13","0","0.88"
"LinReg DS","13","0.05","0.76"
"LinReg MS","13","0","0.8"
"DataSplitting","13","0.3125","0.88"
"MultipleDataSplitting","13","0.153846153846154","0.88"
"Knockoff","13","0.290322580645161","0.88"
"BH","13","0","0.8"
"LinReg DS","13","0.0416666666666667","0.92"
"LinReg MS","13","0","0.92"
"DataSplitting","13","0.0740740740740741","1"
"MultipleDataSplitting","13","0","0.96"
"Knockoff","13","0","1"
"BH","13","0","0.96"
"LinReg DS","13","0.0909090909090909","0.8"
"LinReg MS","13","0","0.8"
"DataSplitting","13","0.0434782608695652","0.88"
"MultipleDataSplitting","13","0.16","0.84"
"Knockoff","13","0.125","0.84"
"BH","13","0","0.84"
"LinReg DS","13","0.214285714285714","0.88"
"LinReg MS","13","0","0.88"
"DataSplitting","13","0.115384615384615","0.92"
"MultipleDataSplitting","13","0.0416666666666667","0.92"
"Knockoff","13","0.0416666666666667","0.92"
"BH","13","0","0.88"
"LinReg DS","13","0","0.84"
"LinReg MS","13","0.0384615384615385","1"
"DataSplitting","13","0.0740740740740741","1"
"MultipleDataSplitting","13","0.0740740740740741","1"
"Knockoff","13","0.137931034482759","1"
"BH","13","0","0.96"
"LinReg DS","13","0.0952380952380952","0.76"
"LinReg MS","13","0.0952380952380952","0.76"
"DataSplitting","13","0","0.8"
"MultipleDataSplitting","13","0.130434782608696","0.8"
"Knockoff","13","0.0869565217391304","0.84"
"BH","13","0","0.8"
"LinReg DS","13","0.04","0.96"
"LinReg MS","13","0","0.92"
"DataSplitting","13","0","0.92"
"MultipleDataSplitting","13","0.08","0.92"
"Knockoff","13","0","0.92"
"BH","13","0","0.92"
